Time;Object;TileXSize;TileYSize;Variability;Columns;Rows;MultipleX;MultipleY;CladdingSeed;OpeningSeed;MargeX;UpperMargin;LowerMargin;MinOpeningHeight;MinOpeningWidth;DoorNumber
14:20:48:564;3.2;0.5;0.3;0.5;5;4;5;1;9;3;0.4;0.2;0.2;1;0.8;1
14:20:50:207;3.2;0.5;0.3;0.5;5;4;5;1;9;4;0.4;0.2;0.2;1;0.8;1
14:20:52:161;3.2;0.5;0.3;0.5;5;4;5;1;9;3;0.4;0.2;0.2;1;0.8;1
14:20:53:195;3.2;0.5;0.3;0.5;5;4;5;1;9;4;0.4;0.2;0.2;1;0.8;1
14:20:54:140;3.2;0.5;0.3;0.5;5;4;5;1;9;3;0.4;0.2;0.2;1;0.8;1
14:20:54:779;3.2;0.5;0.3;0.5;5;4;5;1;9;2;0.4;0.2;0.2;1;0.8;1
14:21:1:23;3.2;0.5;0.3;0.5;5;4;5;1;9;3;0.4;0.2;0.2;1;0.8;1
14:21:4:379;3.2;0.5;0.3;0.5;5;4;5;1;9;4;0.4;0.2;0.2;1;0.8;1
14:21:5:623;3.2;0.5;0.3;0.5;5;4;5;1;9;3;0.4;0.2;0.2;1;0.8;1
14:21:5:849;3.2;0.5;0.3;0.5;5;4;5;1;9;2;0.4;0.2;0.2;1;0.8;1
14:21:40:25;3.2;0.5;0.3;0.5;5;4;5;1;29;2;0.4;0.2;0.2;1;0.8;1
14:21:40:659;3.2;0.5;0.3;0.5;5;4;5;1;49;2;0.4;0.2;0.2;1;0.8;1
14:21:48:343;3.2;0.5;0.3;0.5;5;4;1;1;49;2;0.4;0.2;0.2;1;0.8;1
14:21:55:562;3.2;0.8;0.3;0.5;5;4;1;1;49;2;0.4;0.2;0.2;1;0.8;1
14:22:4:744;3.2;0.81;0.8;0.5;5;4;1;1;49;2;0.4;0.2;0.2;1;0.8;1
14:22:10:241;3.2;0.81;0.75;0.5;5;4;4;1;49;2;0.4;0.2;0.2;1;0.8;1
14:22:26:4;3.3;0.81;0.75;0.5;5;4;4;1;49;2;0.4;0.2;0.2;1;0.8;1
14:22:31:619;3.3;0.83;0.75;0.5;5;4;4;1;49;2;0.4;0.2;0.2;1;0.8;1
14:22:53:350;3.3;0.83;0.75;0.5;3;4;4;1;49;2;0.4;0.2;0.2;1;0.8;1
14:23:12:398;3.3;0.83;0.75;0.5;3;5;4;1;49;2;0.4;0.2;0.2;1;0.8;1
14:23:30:850;3.3;0.83;0.75;0;3;5;4;1;49;2;0.4;0.2;0.2;1;0.8;1
14:23:39:754;3.3;0.83;0.75;0;3;5;4;1;49;2;0.4;0.2;0.5;1;0.8;1
14:23:44:556;3.3;0.83;0.75;0;3;5;4;1;49;2;0.4;0.5;0.5;1;0.8;1
14:23:57:104;3.3;0.83;0.75;1;3;5;4;1;49;2;0.4;0.5;0.5;1;0.8;1
14:24:5:41;3.3;0.83;0.75;1;3;5;4;1;49;2;0.4;0.5;0.5;1;2;1
14:24:8:520;3.3;0.83;0.75;1;3;5;4;1;49;2;0.4;0.5;0.5;1;1.5;1
14:24:13:648;3.3;0.83;0.75;1;3;5;4;1;49;2;0.4;0.5;0.5;0.8;1.5;1
14:24:18:275;3.3;0.83;0.75;1;3;5;4;1;49;3;0.4;0.5;0.5;0.8;1.5;1
14:24:19:24;3.3;0.83;0.75;1;3;5;4;1;49;4;0.4;0.5;0.5;0.8;1.5;1
14:24:20:270;3.3;0.83;0.75;1;3;5;4;1;49;5;0.4;0.5;0.5;0.8;1.5;1
14:24:21:396;3.3;0.83;0.75;1;3;5;4;1;49;6;0.4;0.5;0.5;0.8;1.5;1
14:24:22:364;3.3;0.83;0.75;1;3;5;4;1;49;7;0.4;0.5;0.5;0.8;1.5;1
14:24:24:600;3.3;0.83;0.75;1;3;5;4;1;49;8;0.4;0.5;0.5;0.8;1.5;1
14:25:3:276;3.3;0.5;0.75;1;3;5;4;1;49;8;0.4;0.5;0.5;0.8;1.5;1
14:25:9:389;3.3;0.5;0.5;1;3;5;4;1;49;8;0.4;0.5;0.5;0.8;1.5;1
14:25:18:334;3.3;0.5;0.5;1;3;5;2;1;49;8;0.4;0.5;0.5;0.8;1.5;1
14:25:22:263;3.3;0.5;0.5;1;3;5;2;6;49;8;0.4;0.5;0.5;0.8;1.5;1
14:25:26:451;3.3;0.5;0.5;1;3;5;2;2;49;8;0.4;0.5;0.5;0.8;1.5;1
14:25:28:584;3.3;0.5;0.5;1;3;5;6;2;49;8;0.4;0.5;0.5;0.8;1.5;1
14:25:33:708;3.3;0.5;0.5;1;3;5;6;2;64;8;0.4;0.5;0.5;0.8;1.5;1
14:25:35:63;3.3;0.5;0.5;1;3;5;6;2;79;8;0.4;0.5;0.5;0.8;1.5;1
14:25:36:722;3.3;0.5;0.5;1;3;5;6;2;64;8;0.4;0.5;0.5;0.8;1.5;1
14:25:37:14;3.3;0.5;0.5;1;3;5;6;2;49;8;0.4;0.5;0.5;0.8;1.5;1
14:25:47:841;3.4;0.5;0.5;1;3;5;6;2;49;8;0.4;0.5;0.5;0.8;1.5;1
14:25:54:861;3.4;0.5;0.5;1;3;5;6;2;49;8;0.4;0.5;0.5;0.8;1.5;1
14:26:7:427;3.4;0.5;0.5;1;5;5;6;2;49;8;0.4;0.5;0.5;0.8;1.5;1
14:26:29:79;3.4;0.5;0.5;1;5;5;6;2;49;8;0.4;0.5;0.5;0.8;1.5;2
