Type,Level,Order,Survey,variable,value
Grasshopper,303221202,3,A,Satisfaction,7.0
Hybrid,303221202,2,A,Satisfaction,8.0
Plugin,303221202,1,A,Satisfaction,8.0
Grasshopper,303221202,3,B,Satisfaction,8.0
Hybrid,303221202,2,B,Satisfaction,8.0
Plugin,303221202,1,B,Satisfaction,8.0
Grasshopper,304420003,1,A,Satisfaction,9.0
Hybrid,304420003,2,A,Satisfaction,9.0
Plugin,304420003,3,A,Satisfaction,10.0
Grasshopper,304420003,1,B,Satisfaction,10.0
Hybrid,304420003,2,B,Satisfaction,8.0
Plugin,304420003,3,B,Satisfaction,9.0
Grasshopper,404113001,3,A,Satisfaction,8.0
Hybrid,404113001,1,A,Satisfaction,5.0
Plugin,404113001,2,A,Satisfaction,7.0
Grasshopper,404113001,3,B,Satisfaction,7.0
Hybrid,404113001,1,B,Satisfaction,6.0
Plugin,404113001,2,B,Satisfaction,8.0
Grasshopper,324332103,2,A,Satisfaction,3.0
Hybrid,324332103,3,A,Satisfaction,3.0
Plugin,324332103,1,A,Satisfaction,3.0
Grasshopper,324332103,2,B,Satisfaction,8.0
Hybrid,324332103,3,B,Satisfaction,7.0
Plugin,324332103,1,B,Satisfaction,4.0
Grasshopper,505122002,1,A,Satisfaction,9.0
Hybrid,505122002,3,A,Satisfaction,7.0
Plugin,505122002,2,A,Satisfaction,10.0
Grasshopper,505122002,1,B,Satisfaction,9.0
Hybrid,505122002,3,B,Satisfaction,7.0
Plugin,505122002,2,B,Satisfaction,9.0
Grasshopper,304223302,2,A,Satisfaction,9.0
Hybrid,304223302,1,A,Satisfaction,9.0
Plugin,304223302,3,A,Satisfaction,9.0
Grasshopper,304223302,2,B,Satisfaction,8.0
Hybrid,304223302,1,B,Satisfaction,9.0
Plugin,304223302,3,B,Satisfaction,9.0
Grasshopper,303120402,3,A,Satisfaction,9.0
Hybrid,303120402,2,A,Satisfaction,7.0
Plugin,303120402,1,A,Satisfaction,9.0
Grasshopper,303120402,3,B,Satisfaction,7.0
Hybrid,303120402,2,B,Satisfaction,7.0
Plugin,303120402,1,B,Satisfaction,6.0
Grasshopper,323341324,1,A,Satisfaction,8.0
Hybrid,323341324,2,A,Satisfaction,7.0
Plugin,323341324,3,A,Satisfaction,9.0
Grasshopper,323341324,1,B,Satisfaction,8.0
Hybrid,323341324,2,B,Satisfaction,8.0
Plugin,323341324,3,B,Satisfaction,9.0
Grasshopper,404223002,3,A,Satisfaction,7.0
Hybrid,404223002,1,A,Satisfaction,9.0
Plugin,404223002,2,A,Satisfaction,7.0
Grasshopper,404223002,3,B,Satisfaction,7.0
Hybrid,404223002,1,B,Satisfaction,9.0
Plugin,404223002,2,B,Satisfaction,7.0
