Name,Level,Order,Type,Object,Time,TileXSize,TileYSize,Variability,Columns,Rows,MultipleX,MultipleY,CladdingSeed,OpeningSeed,MargeX,UpperMargin,LowerMargin,MinOpeningHeight,MinOpeningWidth,DoorNumber,Max,Total,CV
Virgil,303334003,0,Standard Deviation,0,26.748831750190508,2.7436796055257213,3.840572873934304,1.964971020425266,1.224744871391589,1.4240006242195886,1.7159383568311666,1.224744871391589,2.279132388529557,5.5226805085936315,1.7159383568311664,1.0,0.7264831572567789,1.5365907428821477,3.1928740101113355,0.8333333333333334,5.5226805085936315,30.945684721257173,0.6304747057419369
FannyM,404113101,2,Grasshopper,2,102.0,5.0,5.0,3.0,2.0,1.0,5.0,4.0,6.0,25.0,3.0,4.0,1.0,5.0,8.0,1.0,25.0,78.0,1.1218079538745311
FannyM,404113101,2,Grasshopper,3,40.0,1.0,1.0,2.0,1.0,2.0,4.0,3.0,3.0,17.0,2.0,1.0,1.0,4.0,1.0,1.0,17.0,44.0,1.3785708168419952
FannyM,404113101,2,Grasshopper,4,24.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,16.0,1.0,1.0,1.0,1.0,1.0,4.0,16.0,34.0,1.712461956236428
FannyM,404113101,1,Hybrid,2,111.0,11.0,6.0,24.0,3.0,3.0,2.0,2.0,2.0,25.0,6.0,1.0,2.0,13.0,11.0,2.0,25.0,113.0,1.0474676622248
FannyM,404113101,1,Hybrid,3,41.0,1.0,1.0,12.0,2.0,2.0,3.0,3.0,3.0,15.0,3.0,2.0,1.0,1.0,1.0,2.0,15.0,52.0,1.2085258200179434
FannyM,404113101,1,Hybrid,4,20.0,1.0,1.0,7.0,2.0,1.0,1.0,1.0,1.0,4.0,5.0,3.0,1.0,1.0,1.0,2.0,7.0,32.0,0.8655419957625231
FannyM,404113101,3,Plugin,2,45.0,2.0,2.0,4.0,2.0,1.0,3.0,2.0,5.0,20.0,2.0,2.0,1.0,2.0,2.0,2.0,20.0,52.0,1.3524187030158656
FannyM,404113101,3,Plugin,3,32.0,3.0,2.0,3.0,3.0,2.0,2.0,1.0,5.0,12.0,1.0,1.0,1.0,1.0,3.0,2.0,12.0,42.0,0.9937853538093947
FannyM,404113101,3,Plugin,4,6.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,20.0,0.6123724356957946
FannyM,404113101,0,Tot,0,421.0,26.0,20.0,57.0,19.0,14.0,22.0,18.0,27.0,138.0,24.0,16.0,10.0,29.0,29.0,18.0,138.0,467.0,1.01069270383559
FannyM,404113101,0,Average,0,46.77777777777778,2.888888888888889,2.2222222222222223,6.333333333333333,2.111111111111111,1.5555555555555556,2.4444444444444446,2.0,3.0,15.333333333333334,2.6666666666666665,1.7777777777777777,1.1111111111111112,3.2222222222222223,3.2222222222222223,2.0,15.333333333333334,51.888888888888886,1.0106927038355897
FannyM,404113101,0,Standard Deviation,0,36.00964377002978,3.333333333333333,1.922093765778466,7.483314773547883,0.6009252125773316,0.7264831572567789,1.4240006242195886,1.118033988749895,1.9364916731037085,7.745966692414834,1.8027756377319946,1.0929064207170003,0.33333333333333337,3.961621441334905,3.7006005518624194,0.8660254037844386,7.745966692414834,38.047906009745915,0.9240165807382481
Margaux,303221202,3,Grasshopper,2,67.0,6.0,9.0,2.0,3.0,3.0,2.0,3.0,12.0,8.0,3.0,3.0,3.0,2.0,2.0,5.0,12.0,66.0,0.6914898447778771
Margaux,303221202,3,Grasshopper,3,71.0,5.0,5.0,5.0,2.0,4.0,1.0,4.0,7.0,25.0,4.0,4.0,4.0,5.0,2.0,3.0,25.0,80.0,1.0574987335352093
Margaux,303221202,3,Grasshopper,4,54.0,3.0,3.0,4.0,3.0,1.0,1.0,1.0,4.0,10.0,4.0,7.0,8.0,5.0,1.0,4.0,10.0,59.0,0.6826412653360285
Margaux,303221202,2,Hybrid,2,22.0,2.0,3.0,1.0,3.0,1.0,1.0,1.0,4.0,10.0,1.0,2.0,1.0,3.0,1.0,2.0,10.0,36.0,0.9682458365518541
Margaux,303221202,2,Hybrid,3,28.0,1.0,10.0,3.0,1.0,1.0,1.0,1.0,7.0,5.0,1.0,1.0,1.0,1.0,3.0,3.0,10.0,40.0,1.0187965589711365
Margaux,303221202,2,Hybrid,4,25.0,1.0,1.0,5.0,2.0,2.0,2.0,2.0,3.0,7.0,2.0,1.0,1.0,3.0,3.0,4.0,7.0,39.0,0.6468598968246786
