Time;Object;TileXSize;TileYSize;Variability;Columns;Rows;MultipleX;MultipleY;CladdingSeed;OpeningSeed;MargeX;UpperMargin;LowerMargin;MinOpeningHeight;MinOpeningWidth;DoorNumber
12:36:13:152;3.2;0.5;0.75;0.5;5;3;3;2;65;13;0.2;0.15;0.7;0.9;1.6;2
12:40:36:794;3.3;0.5;0.75;0.5;5;3;3;2;65;13;0.2;0.15;0.7;0.9;1.6;2
12:40:50:3;3.3;0.1;0.75;0.5;5;3;3;2;65;13;0.2;0.15;0.7;0.9;1.6;2
12:40:54:659;3.3;0.2;0.75;0.5;5;3;3;2;65;13;0.2;0.15;0.7;0.9;1.6;2
12:40:59:58;3.3;0.2;1;0.5;5;3;3;2;65;13;0.2;0.15;0.7;0.9;1.6;2
12:41:14:970;3.3;0.2;1;0.5;5;3;4;2;65;13;0.2;0.15;0.7;0.9;1.6;2
12:41:20:685;3.3;0.2;1;0.5;5;3;5;2;65;13;0.2;0.15;0.7;0.9;1.6;2
12:41:29:435;3.3;0.2;1;0.5;5;3;5;3;65;13;0.2;0.15;0.7;0.9;1.6;2
12:41:37:746;3.3;0.4;1;0.5;5;3;5;3;65;13;0.2;0.15;0.7;0.9;1.6;2
12:41:46:29;3.3;0.5;1;0.5;5;3;5;3;65;13;0.2;0.15;0.7;0.9;1.6;2
12:41:54:633;3.3;0.5;1;0.5;5;3;3;3;65;13;0.2;0.15;0.7;0.9;1.6;2
12:41:59:17;3.3;0.5;1;0.5;5;3;3;2;65;13;0.2;0.15;0.7;0.9;1.6;2
12:42:7:553;3.3;0.5;0.5;0.5;5;3;3;2;65;13;0.2;0.15;0.7;0.9;1.6;2
12:42:11:865;3.3;0.5;0.5;0.5;5;3;2;2;65;13;0.2;0.15;0.7;0.9;1.6;2
12:43:3:896;3.3;0.5;0.5;0.5;5;3;2;2;80;13;0.2;0.15;0.7;0.9;1.6;2
12:43:4:696;3.3;0.5;0.5;0.5;5;3;2;2;95;13;0.2;0.15;0.7;0.9;1.6;2
12:43:5:330;3.3;0.5;0.5;0.5;5;3;2;2;110;13;0.2;0.15;0.7;0.9;1.6;2
12:43:6:380;3.3;0.5;0.5;0.5;5;3;2;2;125;13;0.2;0.15;0.7;0.9;1.6;2
12:43:7:979;3.3;0.5;0.5;0.5;5;3;2;2;110;13;0.2;0.15;0.7;0.9;1.6;2
12:43:8:129;3.3;0.5;0.5;0.5;5;3;2;2;95;13;0.2;0.15;0.7;0.9;1.6;2
12:43:18:946;3.3;0.5;0.5;0.5;5;4;2;2;95;13;0.2;0.15;0.7;0.9;1.6;2
12:43:30:270;3.3;0.5;0.5;0;5;4;2;2;95;13;0.2;0.15;0.7;0.9;1.6;2
12:43:36:996;3.3;0.5;0.5;0;5;4;2;2;95;13;0.4;0.15;0.7;0.9;1.6;2
12:43:51:964;3.3;0.5;0.5;0;5;4;2;2;95;13;0.7;0.15;0.7;0.9;1.6;2
12:44:1:116;3.3;0.5;0.5;0;5;4;2;2;95;13;0.3;0.15;0.7;0.9;1.6;2
12:44:6:742;3.3;0.5;0.5;0;5;4;2;2;95;13;0.2;0.15;0.7;0.9;1.6;2
12:44:12:379;3.3;0.5;0.5;0;5;4;2;2;95;13;0.2;0.15;0;0.9;1.6;2
12:44:44:366;3.3;0.5;0.5;0;5;4;2;2;95;13;0.2;0.15;0.5;0.9;1.6;2
12:45:11:826;3.3;0.5;0.5;0;5;4;2;2;95;13;0.2;0.3;0.5;0.9;1.6;2
12:47:23:444;3.3;0.5;0.5;0;5;4;2;2;95;13;0.2;0.3;0.5;0.9;0.6;2
12:47:31:668;3.3;0.5;0.5;0;5;4;2;2;95;13;0.2;0.3;0.5;0.9;0.6;1
12:48:42:644;3.3;0.5;0.5;0;5;4;2;2;95;13;0.6;0.3;0.5;0.9;0.6;1
12:48:52:678;3.3;0.5;0.5;0;5;4;2;2;95;13;0.5;0.3;0.5;0.9;0.6;1
12:49:4:317;3.3;0.5;0.5;0;5;4;2;2;95;13;0.6;0.3;0.5;0.9;0.6;1
12:49:31:920;3.3;0.3;0.5;0;5;4;2;2;95;13;0.6;0.3;0.5;0.9;0.6;1
12:49:52:215;3.3;0.3;0.5;0;5;4;2;2;95;13;0.3;0.3;0.5;0.9;0.6;1
12:49:56:896;3.3;0.3;0.5;0;5;4;2;2;95;13;0.7;0.3;0.5;0.9;0.6;1
12:50:10:509;3.3;0.3;0.5;0.5;5;4;2;2;95;13;0.7;0.3;0.5;0.9;0.6;1
12:50:17:946;3.3;0.3;0.5;0.1;5;4;2;2;95;13;0.7;0.3;0.5;0.9;0.6;1
12:50:28:497;3.3;0.3;0.5;0.1;5;4;2;2;95;13;0.7;0.3;0.5;0.9;1;1
12:50:33:643;3.3;0.3;0.5;0.1;5;4;2;2;95;13;0.7;0.3;0.5;1;1;1
12:50:49:924;3.3;0.3;0.5;0.1;5;4;2;2;95;14;0.7;0.3;0.5;1;1;1
12:50:50:688;3.3;0.3;0.5;0.1;5;4;2;2;95;15;0.7;0.3;0.5;1;1;1
12:50:52:175;3.3;0.3;0.5;0.1;5;4;2;2;95;16;0.7;0.3;0.5;1;1;1
12:50:52:751;3.3;0.3;0.5;0.1;5;4;2;2;95;17;0.7;0.3;0.5;1;1;1
12:51:7:396;3.4;0.3;0.5;0.1;5;4;2;2;95;17;0.7;0.3;0.5;1;1;1
12:51:29:584;3.4;0;0.5;0.1;5;4;2;2;95;17;0.7;0.3;0.5;1;1;1
12:51:46:468;3.4;0;0.5;0.1;5;4;2;2;95;17;0.7;0.3;0.5;1;1;1
12:53:31:937;3.4;0.3;0.3;0.2;2;2;3;3;1;1;0.2;0.2;0.8;0.8;0.8;1
12:53:41:975;3.4;1;0.3;0.2;2;2;3;3;1;1;0.2;0.2;0.8;0.8;0.8;1
12:53:46:267;3.4;1;1;0.2;2;2;3;3;1;1;0.2;0.2;0.8;0.8;0.8;1
12:53:52:160;3.4;1;1;0.2;2;2;2;3;1;1;0.2;0.2;0.8;0.8;0.8;1
12:53:56:492;3.4;1;1;0.2;2;2;2;1;1;1;0.2;0.2;0.8;0.8;0.8;1
12:54:3:967;3.4;2;1;0.2;2;2;2;1;1;1;0.2;0.2;0.8;0.8;0.8;1
12:54:8:715;3.4;0.5;1;0.2;2;2;2;1;1;1;0.2;0.2;0.8;0.8;0.8;1
12:54:15:60;3.4;0.5;1;0.2;2;2;3;1;1;1;0.2;0.2;0.8;0.8;0.8;1
12:54:38:877;3.4;0.5;1;0.2;2;4;3;1;1;1;0.2;0.2;0.8;0.8;0.8;1
12:54:52:212;3.4;0.5;1;0.2;5;4;3;1;1;1;0.2;0.2;0.8;0.8;0.8;1
12:55:4:20;3.4;0.5;1;0.2;5;4;3;1;1;1;0.2;0.2;0.2;0.8;0.8;1
12:55:11:685;3.4;0.5;1;0.2;5;4;3;1;1;1;0.2;0.2;0.2;1;0.8;1
12:55:18:377;3.4;0.5;1;0.2;5;4;3;1;1;1;0.2;0.8;0.2;1;0.8;1
12:55:32:995;3.4;0.5;1;0.2;5;4;3;1;1;1;0.2;0.8;0.2;1;0.8;0
12:55:45:171;3.4;0.5;1;0.2;5;4;6;1;1;1;0.2;0.8;0.2;1;0.8;0
12:55:51:70;3.4;0.5;1;0.2;5;4;3;1;1;1;0.2;0.8;0.2;1;0.8;0
12:55:57:620;3.4;0.5;1;0.2;5;4;3;3;1;1;0.2;0.8;0.2;1;0.8;0
12:56:8:565;3.4;0.5;1;0.2;5;4;3;3;1;1;0.2;0.2;0.2;1;0.8;0
12:56:16:191;3.4;0.5;1;0.2;5;4;3;3;1;1;0.2;0.2;0.2;1;0.9;0
12:56:20:590;3.4;0.5;1;0.2;5;4;3;3;1;1;0.2;0.2;0.2;0.5;0.9;0
12:56:45:638;3.4;0.5;0.3;0.2;5;4;3;3;1;1;0.2;0.2;0.2;0.5;0.9;0
12:57:11:319;3.4;0.5;0.3;0.2;5;4;3;3;1;2;0.2;0.2;0.2;0.5;0.9;0
12:57:13:386;3.4;0.5;0.3;0.2;5;4;3;3;1;3;0.2;0.2;0.2;0.5;0.9;0
12:57:14:856;3.4;0.5;0.3;0.2;5;4;3;3;1;4;0.2;0.2;0.2;0.5;0.9;0
12:57:15:984;3.4;0.5;0.3;0.2;5;4;3;3;1;5;0.2;0.2;0.2;0.5;0.9;0
12:57:17:123;3.4;0.5;0.3;0.2;5;4;3;3;1;6;0.2;0.2;0.2;0.5;0.9;0
13:0:53:513;2.;0;0;0.86;6;5;3;2;66;23;0;0;0;1.62;1.98;4
13:1:24:460;2.1;0;0;0.86;6;5;3;2;66;23;0;0;0;1.62;1.98;4
13:1:24:581;2.1;0;0;0.86;6;5;3;2;66;23;0;0.4;0.6;1.62;1.98;4
13:1:24:624;2.1;0;0;0.86;6;5;3;2;66;23;0.6;0.4;0.6;1.62;1.98;4
13:1:24:674;2.1;0;0.6;0.86;6;5;3;2;66;23;0.6;0.4;0.6;1.62;1.98;4
13:1:24:929;2.1;0.6;0.6;0.86;6;5;3;2;66;23;0.6;0.4;0.6;1.62;1.98;4
13:1:31:262;2.1;0.6;0.6;0.86;6;1;3;2;66;23;0.6;0.4;0.6;1.62;1.98;4
13:1:33:368;2.1;0.6;0.6;0.86;6;2;3;2;66;23;0.6;0.4;0.6;1.62;1.98;4
13:1:34:651;2.1;0.6;0.6;0.86;5;2;3;2;66;23;0.6;0.4;0.6;1.62;1.98;4
13:1:36:30;2.1;0.6;0.6;0.86;1;2;3;2;66;23;0.6;0.4;0.6;1.62;1.98;4
13:1:38:52;2.1;0.6;0.6;0.86;2;2;3;2;66;23;0.6;0.4;0.6;1.62;1.98;4
13:1:55:358;2.1;0.55;0.6;0.86;2;2;3;2;66;23;0.6;0.4;0.6;1.62;1.98;4
13:1:56:352;2.1;0.46;0.6;0.86;2;2;3;2;66;23;0.6;0.4;0.6;1.62;1.98;4
13:1:56:938;2.1;0.2;0.6;0.86;2;2;3;2;66;23;0.6;0.4;0.6;1.62;1.98;4
