Time;Object;TileXSize;TileYSize;Variability;Columns;Rows;MultipleX;MultipleY;CladdingSeed;OpeningSeed;MargeX;UpperMargin;LowerMargin;MinOpeningHeight;MinOpeningWidth;DoorNumber
16:13:35:595;1.2;0.3;0.3;0.4;3;2;3;3;9;53;0.3;0.9;0.7;1;0.8;1
16:13:36:378;1.2;0.3;0.3;0.4;3;2;3;3;9;53;0.3;0.9;0.7;1.5;0.8;1
16:13:37:180;1.2;0.3;0.3;0.4;3;2;3;3;9;53;0.3;0.9;0.7;1.9;0.8;1
16:13:49:517;1.2;0.31;0.3;0.4;3;2;3;3;9;53;0.3;0.9;0.7;1.9;0.8;1
16:13:50:41;1.2;0.7;0.3;0.4;3;2;3;3;9;53;0.3;0.9;0.7;1.9;0.8;1
16:13:50:561;1.2;0.72;0.3;0.4;3;2;3;3;9;53;0.3;0.9;0.7;1.9;0.8;1
16:13:51:93;1.2;0.77;0.3;0.4;3;2;3;3;9;53;0.3;0.9;0.7;1.9;0.8;1
16:13:53:80;1.2;0.77;0.31;0.4;3;2;3;3;9;53;0.3;0.9;0.7;1.9;0.8;1
16:13:53:389;1.2;0.77;1.23;0.4;3;2;3;3;9;53;0.3;0.9;0.7;1.9;0.8;1
16:13:54:705;1.2;0.77;1.25;0.4;3;2;3;3;9;53;0.3;0.9;0.7;1.9;0.8;1
16:13:55:49;1.2;0.77;1.32;0.4;3;2;3;3;9;53;0.3;0.9;0.7;1.9;0.8;1
16:14:0:751;1.2;0.77;1.31;0.4;3;2;3;3;9;53;0.3;0.9;0.7;1.9;0.8;1
16:14:1:61;1.2;0.77;1.26;0.4;3;2;3;3;9;53;0.3;0.9;0.7;1.9;0.8;1
16:14:1:394;1.2;0.77;1.13;0.4;3;2;3;3;9;53;0.3;0.9;0.7;1.9;0.8;1
16:14:1:699;1.2;0.77;1.1;0.4;3;2;3;3;9;53;0.3;0.9;0.7;1.9;0.8;1
16:14:6:411;1.2;0.76;1.1;0.4;3;2;3;3;9;53;0.3;0.9;0.7;1.9;0.8;1
16:14:6:743;1.2;0.65;1.1;0.4;3;2;3;3;9;53;0.3;0.9;0.7;1.9;0.8;1
16:14:7:78;1.2;0.59;1.1;0.4;3;2;3;3;9;53;0.3;0.9;0.7;1.9;0.8;1
16:14:7:559;1.2;0.6;1.1;0.4;3;2;3;3;9;53;0.3;0.9;0.7;1.9;0.8;1
16:14:7:918;1.2;0.82;1.1;0.4;3;2;3;3;9;53;0.3;0.9;0.7;1.9;0.8;1
16:14:8:219;1.2;0.9;1.1;0.4;3;2;3;3;9;53;0.3;0.9;0.7;1.9;0.8;1
16:14:8:504;1.2;0.92;1.1;0.4;3;2;3;3;9;53;0.3;0.9;0.7;1.9;0.8;1
16:14:9:366;1.2;0.93;1.1;0.4;3;2;3;3;9;53;0.3;0.9;0.7;1.9;0.8;1
16:14:9:705;1.2;0.96;1.1;0.4;3;2;3;3;9;53;0.3;0.9;0.7;1.9;0.8;1
16:14:10:949;1.2;0.97;1.1;0.4;3;2;3;3;9;53;0.3;0.9;0.7;1.9;0.8;1
16:14:11:250;1.2;0.98;1.1;0.4;3;2;3;3;9;53;0.3;0.9;0.7;1.9;0.8;1
16:14:13:116;1.2;0.99;1.1;0.4;3;2;3;3;9;53;0.3;0.9;0.7;1.9;0.8;1
16:14:13:496;1.2;1;1.1;0.4;3;2;3;3;9;53;0.3;0.9;0.7;1.9;0.8;1
16:14:38:129;1.2;1.1;1.1;0.4;3;2;3;3;9;53;0.3;0.9;0.7;1.9;0.8;1
16:14:51:382;1.2;1.1;1.1;0.4;3;2;3;3;9;53;0.3;0.9;0.7;1.8;0.8;1
